Temperature,pH,Yeast_Concentration,Sugar_Concentration,Ethanol_Yield,Residual_Sugar,Vinasse_Volume
28.7,5.0,1.2,12.3,62.8,5.3,41.8
34.5,5.4,2.3,10.0,50.0,5.4,50.0
32.3,5.1,4.1,17.3,83.5,3.2,21.8
31.0,4.3,3.8,19.7,86.2,2.7,20.7
26.6,4.0,4.2,12.2,60.0,5.5,45.2
26.6,4.4,3.1,16.6,73.9,5.2,32.3
25.6,4.9,2.8,17.4,68.7,5.2,35.0
33.7,4.1,1.6,18.5,63.5,7.6,38.7
31.0,4.7,2.3,14.2,71.0,5.1,33.4
32.1,4.9,2.7,13.0,71.5,3.9,31.8
25.2,4.5,1.4,13.3,51.6,7.5,44.6
34.7,5.2,1.9,17.1,60.8,8.9,45.5
33.3,4.2,3.4,18.2,74.3,5.1,30.8
27.1,4.1,3.9,11.8,64.1,4.9,39.5
26.8,5.1,5.0,13.7,67.9,4.5,35.6
26.8,4.7,4.7,19.0,76.7,5.0,27.2
28.0,5.0,3.6,18.1,81.0,4.0,24.8
30.2,4.7,2.7,19.8,80.0,4.5,22.8
29.3,4.4,3.5,17.5,87.5,1.9,24.6
27.9,5.2,4.1,13.9,75.0,4.0,27.5
31.1,5.2,1.5,15.9,67.7,6.4,33.8
26.4,5.0,2.6,16.6,70.8,5.6,32.5
27.9,4.4,4.4,10.8,61.6,5.1,43.3
28.7,4.9,2.5,15.4,75.7,4.1,29.5
29.6,4.5,3.3,17.1,83.8,3.5,20.5
32.9,4.1,3.4,11.7,63.0,4.9,42.1
27.0,5.4,1.7,17.8,65.0,6.4,39.4
30.1,4.2,2.4,15.8,77.3,4.1,29.2
30.9,5.4,2.3,19.5,72.3,5.5,33.6
25.5,4.7,1.1,10.4,52.6,5.2,50.0
31.1,4.3,1.1,12.7,59.9,5.7,46.5
26.7,4.8,4.3,16.0,77.6,4.1,26.6
25.7,5.3,2.1,13.0,53.2,6.2,50.0
34.5,5.1,3.1,17.1,69.0,6.4,35.5
34.7,5.2,2.2,17.6,60.8,8.0,42.4
33.1,5.0,4.8,11.0,63.3,4.1,36.0
28.0,5.0,2.0,15.1,71.2,4.1,32.7
26.0,5.3,2.7,15.1,64.5,5.9,36.8
31.8,4.4,4.5,13.7,71.3,4.1,34.6
29.4,4.7,4.4,19.3,90.5,2.1,19.7
26.2,4.3,1.7,18.3,60.2,7.9,37.7
30.0,5.5,4.2,17.0,89.7,0.9,18.2
25.3,5.4,2.8,17.1,64.5,6.6,40.6
34.1,4.1,2.9,14.6,56.8,6.9,44.2
27.6,5.1,1.5,19.2,63.9,8.0,40.3
31.6,5.4,1.3,16.9,65.2,6.2,38.5
28.1,4.3,3.9,17.3,82.8,4.1,24.5
30.2,4.9,3.0,18.6,86.4,1.9,20.3
30.5,5.4,2.7,12.7,70.5,4.8,31.1
26.8,4.1,3.9,18.1,77.8,4.4,25.5
34.7,5.0,4.1,12.0,60.4,5.7,43.1
32.8,4.4,1.6,13.5,56.7,6.5,44.6
34.4,5.4,3.4,13.4,62.5,6.1,39.7
33.9,5.5,1.5,19.8,60.3,8.5,40.9
31.0,5.4,4.0,18.6,86.7,2.2,20.0
34.2,4.7,3.6,17.0,72.4,5.9,34.2
25.9,5.3,4.8,17.3,70.0,5.7,33.4
27.0,5.3,1.3,15.6,58.0,7.4,40.9
25.5,4.5,1.2,19.5,55.4,10.3,47.2
28.3,5.2,2.1,15.0,68.9,4.7,34.5
28.9,4.1,2.0,13.8,60.6,6.3,41.5
27.7,4.9,2.0,11.6,62.2,4.6,43.5
33.3,4.3,4.6,17.9,75.6,4.8,29.5
28.6,4.2,2.0,17.3,70.9,5.6,33.9
27.8,4.1,2.1,13.8,61.3,5.2,38.6
30.4,5.0,4.0,10.3,73.0,2.7,31.2
26.4,4.5,2.8,18.4,67.7,7.3,37.1
33.0,5.1,4.1,10.1,65.4,4.3,34.6
25.7,4.1,1.3,17.0,55.6,8.4,45.9
34.9,4.5,3.0,19.7,64.5,7.9,38.6
32.7,4.8,1.1,14.4,61.2,6.1,41.1
27.0,5.2,1.3,12.3,50.9,7.4,50.0
25.1,4.5,4.6,17.0,68.2,5.9,36.1
33.2,4.9,1.6,18.2,65.9,7.0,40.2
32.1,5.3,3.1,15.5,74.7,4.9,28.3
32.3,4.9,2.6,19.7,69.8,6.2,34.4
32.7,4.3,2.4,10.5,55.6,6.0,45.7
25.7,4.0,4.6,15.0,61.9,5.6,38.4
28.6,5.3,1.1,17.2,66.9,7.1,38.4
26.2,4.0,3.7,18.6,72.1,5.6,37.0
33.6,5.3,4.9,11.8,57.5,5.5,44.0
31.2,4.8,3.2,18.0,86.7,1.7,21.7
28.3,5.4,4.7,15.5,74.6,4.2,30.5
25.6,5.2,1.2,14.0,50.0,7.2,48.6
28.1,5.5,2.7,11.3,61.9,4.5,36.8
28.3,4.5,2.0,18.7,72.6,5.6,30.5
32.3,5.2,3.9,11.6,62.7,5.3,37.0
31.4,4.6,4.9,13.1,71.3,4.3,36.3
33.9,4.7,2.0,12.9,55.0,6.6,45.8
29.7,4.9,3.6,18.7,89.0,1.7,18.1
26.2,5.3,1.8,16.7,58.4,7.3,45.1
32.1,5.5,3.3,18.0,78.5,5.2,24.9
32.6,5.2,2.9,12.5,66.3,4.3,35.4
30.6,4.6,4.9,16.2,84.5,3.6,22.6
32.7,4.6,3.4,15.7,74.4,4.4,32.6
29.9,5.1,2.4,18.3,84.3,3.2,23.5
30.2,4.4,1.5,19.1,72.0,6.5,32.9
29.3,4.2,1.6,10.1,54.3,5.8,46.7
25.3,4.5,1.9,16.7,57.1,7.9,45.1
26.1,4.4,2.0,10.5,50.0,5.6,50.0
25.3,4.4,4.4,15.5,65.3,5.9,35.7
31.4,4.4,3.2,12.9,71.1,4.3,33.2
28.1,4.1,3.1,13.1,66.2,5.4,34.9
30.1,4.0,1.5,13.5,62.5,5.6,40.1
34.1,5.5,4.4,16.2,65.9,6.5,36.4
27.5,4.6,3.9,13.3,74.6,4.6,35.4
29.1,4.6,1.3,17.3,68.9,6.2,34.8
32.6,5.0,3.8,14.0,75.7,3.9,26.6
27.3,4.3,3.2,10.7,58.0,4.2,43.3
25.8,5.4,1.3,17.8,56.3,7.3,46.0
27.9,5.2,2.8,12.9,63.1,5.5,42.9
26.6,4.1,2.9,14.3,62.1,6.0,39.1
34.3,4.6,1.7,16.9,62.5,6.8,36.8
33.1,5.3,4.8,13.3,65.7,5.2,39.1
31.3,5.4,4.4,10.6,67.8,3.7,33.0
33.7,4.7,3.7,13.7,69.5,5.2,33.5
33.0,4.9,2.8,19.4,70.6,6.4,33.0
26.9,4.3,2.6,16.4,67.0,5.6,36.2
33.9,5.5,3.6,16.7,68.1,6.4,36.9
30.4,4.3,3.2,16.3,85.7,2.5,20.0
33.1,5.4,1.2,12.0,50.0,6.9,49.5
34.0,5.0,3.1,14.2,66.3,5.1,37.0
28.2,4.9,4.2,17.5,88.8,1.9,19.3
26.1,4.8,2.8,11.0,61.2,4.8,41.2
27.3,4.3,1.2,12.8,53.2,6.7,48.3
29.3,4.3,4.1,12.8,77.4,3.4,29.8
33.2,4.3,1.8,14.3,63.3,5.7,40.1
33.6,4.3,2.0,19.8,60.7,7.7,42.3
25.1,5.2,1.7,10.7,50.0,5.7,46.8
30.1,4.5,2.3,15.2,72.9,5.0,31.8
29.2,4.1,4.0,11.8,73.7,3.3,32.0
27.2,5.5,3.1,19.7,67.0,7.1,37.9
26.2,5.3,1.8,11.1,50.0,6.7,48.6
28.4,5.4,4.5,14.0,73.9,3.7,29.5
34.4,5.5,4.5,17.4,68.5,5.3,34.0
28.2,4.3,4.5,17.0,81.4,3.4,26.0
30.2,4.6,2.0,14.2,72.4,4.1,34.1
32.0,5.1,2.8,13.5,70.4,3.9,32.9
28.6,5.0,4.9,14.0,72.0,4.3,34.2
34.7,4.2,4.1,12.6,58.7,6.0,43.3
34.6,5.2,1.1,12.1,50.0,6.7,49.8
27.5,4.3,1.3,14.8,60.7,6.6,41.0
30.0,4.3,2.9,12.7,74.5,4.5,31.9
28.0,4.8,4.6,12.9,73.2,3.7,32.1
27.8,4.9,3.2,16.6,81.3,3.6,29.5
25.4,4.9,3.0,19.7,64.2,7.6,36.9
31.1,4.1,1.4,16.0,69.3,5.1,35.6
30.0,5.3,3.6,10.8,75.0,2.7,28.9
25.5,4.4,4.3,10.8,58.4,4.7,41.5
27.8,4.2,2.5,19.5,73.9,5.8,30.9
34.1,5.3,4.1,13.0,60.1,6.9,42.2
27.4,5.4,4.9,10.9,58.7,4.7,48.9
26.4,5.3,1.8,16.0,59.2,7.0,42.3
29.9,5.2,3.1,16.2,85.2,2.6,19.6
34.9,5.0,2.1,16.5,58.3,7.8,43.9
27.4,4.8,4.2,12.7,73.5,3.9,27.0
31.7,4.1,3.3,10.2,64.3,4.7,38.3
32.6,4.6,3.5,19.7,79.5,3.3,26.5
27.4,4.6,4.2,12.5,70.3,2.9,35.3
32.3,4.4,2.6,16.8,70.6,5.2,35.5
28.7,5.1,4.7,17.1,81.8,4.0,23.5
31.3,4.7,3.1,16.1,84.0,2.1,22.5
31.3,4.1,1.6,13.1,61.8,4.1,39.1
30.4,4.3,3.8,12.7,77.3,3.5,25.9
25.9,5.0,4.2,16.0,71.2,5.2,33.7
33.4,4.1,2.3,18.7,61.4,7.5,38.3
28.2,5.3,4.4,19.5,77.9,4.3,26.9
26.9,4.7,4.6,11.1,66.9,3.6,34.5
25.4,4.7,2.1,11.5,50.0,6.5,50.0
30.9,4.9,4.9,19.4,84.1,3.1,26.3
31.8,5.2,1.6,17.4,70.8,5.9,30.7
25.2,4.5,1.8,18.8,56.8,7.6,40.9
30.1,5.0,1.7,12.0,65.7,4.2,37.2
27.3,4.8,4.6,15.9,78.6,3.2,27.2
31.5,4.4,3.6,17.0,83.8,2.9,23.4
26.7,5.3,1.6,16.8,67.6,5.8,35.0
31.9,5.2,2.8,14.1,65.7,5.8,37.0
28.9,5.0,3.5,10.2,69.8,2.5,34.9
34.4,5.3,1.3,15.8,54.4,8.0,48.6
26.4,5.3,4.5,12.5,63.8,5.3,35.0
28.4,5.1,4.2,14.5,79.7,4.2,25.5
26.1,5.3,3.0,19.6,66.1,7.1,37.5
34.2,5.0,4.9,14.0,63.3,5.9,37.5
33.8,5.0,2.7,18.4,66.3,6.0,40.4
27.6,4.9,4.9,11.9,66.8,3.2,35.3
31.6,5.1,3.7,16.7,83.9,3.4,22.8
33.2,4.2,3.5,19.8,73.7,5.8,32.2
30.6,5.3,1.7,11.0,61.4,5.3,39.7
30.3,5.3,4.5,10.1,69.0,2.8,31.1
27.4,4.0,2.7,14.3,64.6,5.9,37.5
25.9,5.2,1.6,10.9,50.0,7.0,50.0
34.0,4.2,1.1,17.5,55.2,8.9,45.2
34.0,4.5,3.2,19.1,72.7,5.9,30.1
31.3,5.1,3.1,14.3,77.6,3.6,29.8
28.4,4.2,3.9,12.6,71.5,3.2,32.1
28.5,5.2,4.6,14.3,75.4,4.6,28.7
32.3,5.2,1.3,17.2,63.2,6.7,39.7
34.0,4.8,3.9,10.1,62.9,4.4,41.2
